Boucher, (Jean-Jacques), Histoire du Loir-et-Cher à travers son Conseil Général de 1790 à nos jours, Paris, Ed. Lanore, Sorlot, 1984, 238 p. C 321;;;;;;;;
Auteurs - Titres - Editeurs - Année;cote;Nb ex sup;année entrée ;Provenance;lieu-personnage;mot clé 1;mot clé 2;
Michel (Paul-Henri), Les Fresques de Tavant La crypte,Paris, Ed. Chêne, 1956, 29 pl., 2 pl. h.-t., 17 p., A 76;A 76;;2018;don Leveel;Touraine;peintures MA;;
"[Coll.], ""Vitraux des cathédrales de France XIIème et XIIIème siècle"", Paris, Plon collection Iris,1951, 19 p., XVIII pl., A 75";A 75;;2018;don Leveel;histoire de l'art;vitraux;;
"[Coll.], ""Pages Poitevines"", Poitiers, Edition Grande Goule, ca 1930, n.p., A 74";A 74;;2018;don Leveel;Poitou;;;
[Collectif], Chemin de fer d'Orléans - Touraine, Paris, suppl. Tour de France, 1907,54 p.,  4 planches hors texte, A 73;A 73;;;;;;;
Peigné-Delacourt et Deslile (Léopold, préface), 1967, Le Monasticon Gallicanum, collection de 169 planches de vues topographiques des monastères bénédictins de la Congrégation de Saint-Maur, avec 2 cartes de l'établissement de l'ordre de Saint-Benoît, d'après les notices établies par dom Michel Germain, bénédictin de la Congrégation de Saint-Maur (1645-1694), Bruxelles, Culture et Civilisation, 1967, L-16 p. et 169 planches, A 72;A 72;;;;Touraine;religion;monastères MA;
Boissonnot (H. chanoine), Les verrières de la cathédrale de Tours, dessins et aquarelles de Melle de Costigliole, Paris, Frazier-Soye, 1932, 59 p. A 71;A 71;;;;;;;
Trochet (Jean-René), Repérant (Dominique), La France rurale. Maisons paysannes et petit patrimoine, s. l., éd. du Chêne-Hachette Livre, 2006, 269 p., A 70;A 70;;2017;Achat 06.17;Architecture rurale;;;
Braudel (Fernand), La Méditerranée. L'espace et l'histoire, Paris, Arts et métiers graphiques, 1977, 225 p., A 69;A 69;;2017;don Jadeau;histoire;Méditerranée;;
[Collectif], 1978, Atlas de la région Centre, Tours, Association des maîtres et étudiants de l'Institut de géographie de Tours, 1978,  pl., multipagination [icomplet], A 68;A 68;;2015;don Audin;Touraine;géographie historique;;
Jeanson (Denis, éd.), 1995, Le theatre françois ou sont comprises les chartes originales generales et particulières de la France […], à Tours, par Maurice Bouguereau, 1594, Tours, Denis Jeanson éd., 1995, n. p., A 67;A 67;;2014;échange Jeanson;Touraine;carte 16e;;
James (John), 1997, Chartres, les constructeurs, Chartres, Société archéologique d'Eure-et-Loir, 1977,-1979, 3 vol., 617 p., A 66 1-2-3;A 66 1-2-3;;2014;achat 05.14;architecture;Chartres;cathédrale;
[Collectif], 1927,  Vie à la Campagne, numéro extraordinaire : Maisons et meubles basques et béarnais, Paris, Hachette, 15 décembre 1927, 58 - XLVIII o., A 65;A 65;;2012;achat 09.12.;ethnographie;mobilier paysan;;
[Collectif], 1922, Vie à la Campagne, numéro extraordinaire : Maisons et meubles bretons, paysans et bourgeois, Paris, Hachette, 15 décembre 1922, 58- XXX p., A 64;A 64;;2012;achat 09.12.;ethnographie;mobilier paysan;;
[Collectif], 1931, Vie à la Campagne, numéro extraordinaire : Maisons, jardins et meubles de l'Île de France, Paris, Hachette, 15 décembre 1931, 58 - 26 p. A 63;A 63;;2012;achat 09.12.;ethnographie;mobilier paysan;;
"Baschet (Roger), 1941, ""Villandry, refuge des enfants perdus"", L'Illustration, 5106, 18 janvier 1941, p. 59-63, A 62";A 62;;2012;achat 08.12.;Touraine;Villandry;guerre 39-45 exode;
"[Anonyme], 1940,  ""L'entrevue du Maréchal Pétain avec le Führer"", L'Illustration, 5096, 9 novembre 1940, p. 233-236, A 61";A 61;;2012;achat 08.12.;Vendômois;Montoire;guerre 39-45  entrevue Montoire;
Perronet (Jean-Rodolphe), 1987, Description des projets et de la construction des ponts, de Neuilli, de Mantes, d'Orléans, de Louis XVI […], Paris, impr. de François-Ambroise Didot, 1788. Rééd., Paris,  Presses de l'École nationale des et chaussées, 1987, 340 p., A 60;A 60;;2011;don Pasquier;architecture;ponts 18e;;
Marx (Roger), s. d., Les médailleurs français contemporains, Paris, Laurens éd., s. d., 32 p., A 59;A 59;;2007;Legs Henri Martin;histoire;graveur;médaille;
[Anonyme], s. d., Châteaux de la Loire. Touraine, Paris, Delmas, s. d. [XXe siècle], A 58;A 58;;2007;Legs Henri Martin;Touraine;châteaux;Loire;
Gasnault (Pierre), 1975, Documents comptables de Saint-Martin de Tours à l'époque mérovingienne, Paris, CTHS, 1975, 207 p. A 57;A 57;;2007;Legs Henri Martin;Saint-Martin;comptabilité HMA;;
Froger (Abbé L.), 1895, La paroisse et l'église Notre-Dame de Saint-Calais, Mamers, Fleury et Dangin, 1895, 55 p. A 56;A 56;;2007;Legs Henri Martin;Maine;église;;
Reille (baron Karl), 2003, Deux cents châteaux et gentilhommières d'Indre-et-Loire, Paris, La Bibliothèque des Introuvables, 2003, 251 p. A 55;A 55;;;;Touraine;château;;
Terrasse (Charles), 1956, Les châteaux de la Loire, Paris, Draeger et Verve, 1956, 198 p. A 54;A 54;;;;Touraine;château;Loire;
[Collectif], 1951, Forschungen in Ephesos, Veröffentlicht vom Österreichischen Archäologischen Institut Wien, 4 vol., vol. IV/3 - die Johanneskirche Justinians, 1951, 308 p. et LXV-LXXVIII pl. , vol. V/1 -  die Bibliothek, 1953, 4 p. et II pl. , vol. VI - das Mausoleum von Belevi, 1979, 210 p. , vol. VII - das Monument des C. Memnius,  1971, 111 p. Vienne, s. n. , A 53 1-4;A 53 1-4;;;;archéologie;Grèce;antiquité;
Daly (César), 1869, Choix de fragments empruntés à des monuments français, du commencement de la Renaissance à la fin de Louis XVI, portes, panneaux sculptés, fenêtres, chambranles, lucarnes, oeils-de-boeuf, niches, corniches, mascarons, balustres, amortissements divers, vases, fontaines, vasques, clefs ornées, etc...sculpture d'ornement en marbre, pierre, bois, plomb, bronze, etc..in Motifs historiques d'architecture et de sculpture d'ornement (deuxième série), 2 vol. Paris, libr. éd. Morel, 1869, t. 2 44 p.- 30 pl. A 52 1-2;A 52 1-2;;;;Histoire art;architecture;décor ;
Daly (César), 1880, Décorations intérieures empruntées à des édifices français du commencement de la Renaissance à la fin de Louis XVI, (XVIe, XVIIe, XVIIIe siècles), ensemble de salons, salle à manger, chambres à couchers, boudoirs, escaliers,cheminées, portes, plafonds, trumeaux, panneaux, lambris, encadrements de glace etc…in Motifs historiques d'architecture et de sculpture d'ornement (deuxième série), 2 vol. Paris, libr. éd. Ducher et Cie, 1880, 55 pl. A 51 1-2;A 51 1-2;;;;Histoire Art;architecture;décor ;
Niel (P.G.J.), 1848-1856, Portraits de personnages français les plus illustres du XVIe siècle, 2 vol., t. 1 - Rois et reines de France. Maîtresses des rois de France, t. 2 - Personnages divers, Paris, Lenoir, 1848-1856, multipagination, reproductions, A 50 1-2;A 50 1-2;;;;Biographie;Grands hommes;Roi;
Baltard (Louis-Pierre), 1829, Architectonographie des prisons ou parallèle des divers systèmes de distribution dont les prisons sont susceptibles, selon le nombre et la nature de leur population, l'étendue et la forme des terrains, dédié à son altesse royale Monseigneur le Dauphin, Paris, l'auteur, 1829, 35 p. , 34 planches, p.sup. A-B, 1 reproduction, A 49;A 49;;;;Architecture;prison;19e;
Bourassé (Jean-Jacques, abbé), 1849, Manceau, Les verrières du chœur de l'Eglise métropolitaine de Tours dessinées par J. Marchand, Paris-Tours, libr. Didon et l'auteur, 1849, 75 p. et reproductions, A 48;A 48;;;;Tours;cathédrale;vitrail;
Parez (Louis), v. 1832, A serie of views illustrating the most interesting and beautiful spots of the Loire and its environs, Londres, éd. Ackermann's, s. d. [v. 1832], 16 p. et gravures, A 47;A 47;;;;Val de Loire;architecture;Montrichard vue;
Rastier (Abbé), 1867, Vieux Noëls illustrés, airs primitifs avec accompagnement de piano, Paris, éd. Cartereau, Tours, libr-éd. Bousrez, 1867, 57 p.,  A 46;A 46;;;;musique;noël;;
Luzarche (Victor), 1868, Un coffret à bijoux de Marie Stuart reine d'Ecosse et douairière de France, Tours, impr. Bousrez, 1868, quelques feuillets et V planches, A 45;A 45;;;;Touraine;Renaissance;Stuart;
Petit (Victor), 1861, Châteaux de la vallée de la Loire des XVe, XVIe et XVIIe siècles dessinés d'après nature et lithographiés,2 vol., t. 1 - châteaux des dépts de la Loire, Saône-et-Loire, Allier, Nièvre, Cher, Yonne, Loiret, Sarthe, Eure-et-Loir, Loir-et-Cher et Indre-et-Loire (1re partie), t. 2 - châteaux des dépts d'Indre-et-Loire (2ème partie), Indre, Sarthe, Deux-Sèvres, Mayenne, Maine-et-Loire et Loire-Inférieure, Paris, éd. d'estampes Charles Boivin , 1861, 1 -X-25 p. , 2 - VI-26 p., et 100 tableaux répartis sur les 2 volumes, A 44 1-2;A 44 1-2;;;;Val de Loire;château;architecture;
[Journal], 1868, L'Union Libérale, journal politique, quotidien, n° 1 du 2 juin 1868 au n° 182 du 30 décembre 1868, Tours, impr. Mazereau, 1868, multipagination, A 43;A 43;;;;Tours;journal;politique;
[Journal], 1840-1841, Courrier d'Indre et Loire de 1839, 2 vol., t. 1 n° 1 du 4 janvier 1840 au n° 181 du 31 décembre 1840, t. 2 n° 1 du 2 et 4 janvier 1841 au n° 177 du 30 décembre 1841, Tours, impr. Pornin, 1840-1841, multipagination, A 42 1-2;A 42 1-2;;;;Tours;journal;politique;
[Collectif], v. 1873, Léon Palustre dir., Album de l'exposition rétrospective des Beaux-Arts de Tours, organisée du 3 au 25 mai 1873, 2 ex. numérotés 51 et 62, Tours, éd. Georget-Joubert, s. d. [v. 1873],  XVIII p., reproductions, n. p. , A 41 A-B;A 41 A-B;1;;;Tours;exposition;Beaux-arts;
Vernet (Carle), s. d., Campagne des français sous le Consulat et l'Empire, album de 52 batailles et 100 portraits, des maréchaux, généraux et personnages les plus illustres de l'époque et le portrait de Napoléon Ier, accompagné d'un fac-similé de sa signature, Saint-Germain, impr. Toinon et Cie, s. d. , n. p. , A 40;A 40;;;;Histoire;bataille;Empire;
[Anonyme], 1798, Collection complète des tableaux historiques de la Révolution française en deux volumes, tome premier contenant les 80 premiers discours depuis le Serment du Jeu de Paume de l'Assemblée Nationale, prononcé le 20 juin 1789, jusqu'aux journées des 31 mai, 1er et 2 juin 1793, 12, 13 et 14 prairial An I de la République, tome second contenant les discours et gravures suivants, jusques et compris le tableau de la Paix générale, ainsi que les portraits et personnages ayant marqué la Révolution, Paris, impr. Didot l'Aîné, 1798, 540 p., 134 gravures, 21 tableaux, A 39 1-2;A 39 1-2;;;;Histoire;Révolution;discours;
Bécavin (J.-M.),1840, Le guide de l'histoire universelle ou classement méthodique de l'histoire de tous les peuples tant anciens que modernes, au moyen de tableaux chronologiques et synchroniques, coloriés avec soin et refaits entièrement d'après la méthode de Lesage (comte de Las-Cases), Blois, imprim. E. Dezairs, 1840, V tableaux, A 38;A 38;;;;Histoire;école;manuel;
Dimier (L.), 1921, L'architecture et la décoration françaises du XVIIIe et XIXe siècles, 1e et 3e série, Paris, éd. Albert Morancé, ancienne maison Morel, 1ère série non datée [v. 1920], 3ème série, 1921, LXXX-LXXVIII planches, A 37 1-2;A 37 1-2;;;;Architecture;décor;18e 19e;
[Anonyme], s. d., Collection de musiques religieuses et autres, s. l. , s. n. , s. d. , [XIXe siècle], A 36;A 36;;;;musique;religion;;
[Collectif], 1892, Journal officiel illustré de l'Exposition Nationale de Tours 1892,  du n° 1 du 20 février 1892 au n° 36 du 25 octobre 1892, et Journal de l'Exposition n° 1 du dimanche 1er mai 1881, [quelques ff], Tours, impr. Tourangelle Suppligeon, 1892, n. p. A 35;A 35;;;;Tours;exposition 1892;;
Racinet (Auguste, dir.), 1887, Le costume historique, 500 planches, types principaux du vêtement et de la parure, rapprochés de ceux de l'intérieur de l'habitation dans tous les temps et chez tous les peuples, avec de nombreux détails sur le mobilier, les armes, les objets usuels, les moyens de transport etc....6 vol. , Paris, Firmin Didot, 1887, t. 1 XXVII-196 p. et nombreuses planches, n. p. pour les t. 2 à 6,  A 34 1-6;A 34 1-6;;;;histoire;costume;vie quotidienne;
[Journal], 1841-1847,  Journal  politique et littéraire d'Indre et Loire, 6 vol., vol. 1 n° 1 à 177 année 1847, vol. 2 - n° 1 à 177 année 1842, vol. 3 - n° 1 à 182 année 1843, vol. 4 - n° 1 à 175 année 1845, vol. 5 - n° 1 à 183 année 1846,v ol. 6 - n° 1 à 177 année 1841, s. n. , s. l. , s. d. , n. p. A 33 1-6 ;A 33 1-6;;;;Tours;journal;politique;
Bourassé (Abbé J.-J), 1856, La Touraine. Histoire et monuments, Tours, Mame, 1856, 610 p. A 32;A 32;;;;Touraine;identité;monuments;
Lavallée (Théophile), 1858, Atlas de géographie militaire adopté par le ministre de la guerre pour l'école impériale de Saint-Cyr, accompagné de tableaux de statistique militaire, Paris, libr. éd. Ferne et Cie, Metz, libr. Roussel Jeune, 1858, 34 cartes et 24 tableaux  A 31;A 31;;;;Géographie historique;guerre ;cartes;
Hauréau (Bartholomaeus), 1856, Gallia Christiana in provincias ecclesiasticas, t. XIV, 2 ex., Paris, Firmin Didot, 1856, 1141 p. A 30 A-B;A 30 A-B;1;;;Touraine;religion;;
Riche (Gilbert), 1942, Vieilles maisons de Tours, 30 eaux-fortes originales, (l'exemplaire dédicacé à la SAT est numéroté 11/300), Tours, l'auteur, 1942, n. p. , A 29;A 29;;;;Tours;architecture;maison;
Manque novembre 2011, Courajod (Louis),1869, Le Monasticon Gallicanum, études iconographiques sur la topographie ecclésiastique de la France aux XVIIe et XVIIIe siècles, Paris, Liepmannssohn et Dufour, 1869, 28 p. A 28 2;A 28 2;;;;Touraine;religion;;
Peigné-Delacourt et Deslile (Léopold, préface), 1967, Le Monasticon Gallicanum, collection de 169 planches de vues topographiques des monastères bénédictins de la Congrégation de Saint-Maur, avec 2 cartes de l'établissement de l'ordre de Saint-Benoît, d'après les notices établies par dom Michel Germain, bénédictin de la Congrégation de Saint-Maur (1645-1694), Bruxelles, Culture et Civilisation, 1967, L-16 p. et 169 planches, A 28 1;A 28 1;;;;Touraine;religion;monastères MA;
Yriarte (Charles), s. d., L'art en France, 1er fasc., Champ-de-Mars, s. l. , Greig and Cie, s. d. , [v. 1895], n. p.,  A 27;A 27;;;;Histoire Art;France;;
Palustre, 1885, La Renaissance en France, 3 t., t. 3 - Bretagne : Ille-et-Vilaine, Côtes du Nord, Finistère, Morbihan, Loire-Inférieure, Paris, éd. impr Quantin, 1885, 311 p.  A 26 3;A 26 3;;;;Histoire Art;Renaissance;Bretagne;
"Palustre, 1881, La Renaissance en France, 3 t., t. 2 - Le Nord ; Ile-de-France (Seine-et-Oise et Seine), Paris, Normandie, Paris, éd. impr Quantin, 1881, 324 p. A 26 2";A 26 2;;;;Histoire Art;Renaissance;Île-de-France;
Palustre, 1879, La Renaissance en France, 3 t., t. 1 - Le Nord : Flandre, Artois, Picardie, Ile-de-France (Aisne et Seine-et-Marne), Paris, éd. impr Quantin, 1879,  VIII-232 p. A 26 1;A 26 1;;;;Histoire Art;Renaissance;Île-de-France;
[Anonyme], 1900, Revue l'Illustration, 4 t., t.CXVI - 2ème sem.1900,Paris, impr. Marc, VIII-420 p. A 25 4;A 25 4;;;;journal;Illustration;1900;
[Anonyme], 1900, Revue l'Illustration, 4 t., t.CXV - 1er sem 1900,Paris, impr. Marc, VIII-420 p. A 25 3;A 25 3;;;;journal;Illustration;1900;
[Anonyme], 1899, Revue l'Illustration, 4 t., t.CXIV - 2ème sem. 1899,Paris, impr. Marc, VIII-440 p. A 25 2;A 25 2;;;;journal;Illustration;1899;
[Anonyme], 1899, Revue l'Illustration, 4 t., t.CXIII - 1er sem. 1899,Paris, impr. Marc, VIII-400 p. A 25 1;A 25 1;;;;journal;Illustration;1899;
Clarey-Martineau (dir.), 1841, Tableaux chronologiques de l'histoire de la Touraine publiés sous les auspices de la Société Archéologique et avec le concours de plusieurs de ses membres,Tours, libr. Clarey, 1841,  multipagination, A 24 (armoire salle consultation);A 24;;;;Touraine;description;19e;
[Collectif], s. d., Catalogue de partitions du début XIXe siècle, (compositeurs Boieldieu, Messonnier, Romagnesi), s. l. , s. n. , s. d. ,  n. p. , A 23;A 23;;;;musique;partitions;20ème;
Romagnesi (A.), s. d., Partitions de Musique, s. l. , s.  n. , s. d. , n. p. , A 22;A 22;;;;musique;partitions;;
Blazkova (J.), 1958, Les tapisseries des collections tchécoslovaques, Paris, Editions Mondiales,  1958, 63 p. et 74 illustrations, A 21;A 21;;;;Histoire Art;tapisseries;Tchécoslovaquie;
Gonse (Louis), s. d., L'art gothique : l'architecture, la peinture, la sculpture, le décor, Paris, Société Française d'Editions d'Art L. Henry May, ancienne maison Quantin, s. d. , 476 p. A 20;A 20;;;;Histoire Art;architecture;Gothique;
Noël (Alexis), 1824, Souvenirs pittoresques de la Touraine,Paris, Leblanc imprimeur-libraire,  1824, n.p., 53 ff., illustré de 50 pl. lithographiées par Langlumé h. t.  A 19 (armoire salle consultation);A 19;;;;Touraine;description;19e;
Manque novembre 2011 [Anonyme], 1946, A descriptive and illustrative catalogue of chinese bronzes, acquired during the administration of John Ellerton Lodge, Oriental Studies, 3, Washington, Freer Gallery of Art, 1946, 108 p. A 18;A 18;;;;Histoire Art;Chine;bronzes;
SAT, s. d., Société archéologique de Touraine. Exposition rétrospective de Tours 1881, cliché d'Auguste Chauvigné, s.n., s.l., s.d., 42 pl., A 17 (in fonds photographique album 1632);A 17;;;;Touraine SAT;exposition;1881;
[Collectif], s. d., Léonard de Vinci, Novara (Italie), IGDA, 2 t., 518 p. A 16 1-2;A 16 1-2;;;;Touraine;Vinci;;
Quatrebarbes (Comte de),1845-1846, Œuvres complètes du roi René, avec une biographie et des notices, 4 t., 2 vol., Angers, impr. Cosnier et Lachèse, 1845-1846, XXX-199 p., CLIV-150 p. A 15-1-2;A 15 1-2;;;;Anjou;René d'Anjou;;
[Anonyme], s. d., Galerie contemporaine, Compositeurs et Savants, Paris, impr. Bernard Jeune, s.d. , n.p. , A 14-2;A 14.2;;;;biographie;savants;;
[Anonyme], s. d., Galerie contemporaine, Littérateurs,s.l., Paris, impr. Pillet et Dumoulin, s.d. , n.p. , A 14-1;A 14.1;;;;biographie;écrivains;;
Boissonot (H.), 1920, Histoire et description de la cathédrale de Tours, Paris, impr. Frazier-Soye, 1920, 447 p. A 13;A 13;;;;Tours;cathédrale;;
Thibout (Marc), 1966, La pittura romanica in Francia, seconda parte 208, Milan, Fratelli Fabbri Editori, 1966, s.p. -16 planches, A 12;A 12;;;;Histoire Art;peinture;Rome;
Noël (Georges), 1947, La peinture italienne, Paris, Les Editions Braun, 1947, s.p.- 8 planches, A 11;A 11;;;;Histoire Art;peinture romaine;Italie;
Michel (P.-H.), 1956, Les fresques de Tavant, la crypte, s.l. , Editions du Chêne, 1956, 17 p. - XIX pl.,  A 10 A-B;A 10 A-B;1;;;Touraine;Tavant;peinture;
Boissonnot (H. chanoine), 1932, Les verrières de la cathédrale de Tours, dessins et aquarelles, Paris, impr. Frazier-Soye, 1932, 59 p. et XVIII pl., A 9;A 9;;;;Tours;cathédrale;vitrail;
Du Rotois (L.), s. d., Mélodies, s.l. , s.n. , s.d. , s.p. , A 8;A 8;;;;Musique;France;;
Grabar (André),1948, Les peintures de l'Evangéliaire de Sinope, s.l., Bibliothèque nationale, 1948, 31 p.- 8 Fig. - V Pl., A 7;A 7;;;;Histoire Art;miniature;MA;
[Anonyme], 1883, Le Drapeau, moniteur illustré de la Ligue des Patriotes, 2e année 1883, Paris, La Ligue des Patriotes, 1883, 632 p. A 6;A 6;;;;journal;politique;19e;
Manque novembre 2011 A 5;A 5;;;;Touraine;;;
Boussard (Jacques), 1957, Atlas historique et culturel de la France, Paris-Bruxelles, Elsevier, 1957, 214 p. A 4;A 4;;;;Géographie historique;France;;
Van der Meer (Frédéric), 1951, Atlas de la Civilisation Occidentale, Paris-Bruxelles, Elsevier, 1951, 228 p. A 3;A 3;;;;Géographie historique;Occident;Occident;
Grollenberg (Luc H.), 1955, Atlas de la Bible, Paris-Bruxelles, Elsevier, 1955, 161 p. A 2 ;A 2 ;;;;histoire;Bible;;
Reille (Karl, baron), 1934, Deux cents châteaux et gentilhommières d'Indre-et-Loire,Tours, Imprimerie Tourangelle, 1934, 188 p. A 1;A 1;;;;Touraine;château;;
;;;;;;;;
Serna (Virginie), Epaves et naufrages en Loire, RACF, 76è suppl., Joué-les-Tours, La Simarre, 2020, 325 p.;B 1635 ;;;;;;;
Rabelais (François), Œuvres complètes de Rabelais, Genève, Famot éd, 1976, 812 p.;B 1634;;2021;don Pasquier;;;;
Acier (Pierre), Le bon pays de Véron en Touraine, Avoine, Le Chat éd, 2020, 201 p., B 1633 ;B 1633;;2021;don Acier;Touraine;;;
Verrière (Jacques), Le vitrail. Reflet de Saint-Martin ?, Chemillé/Indrois, Hugues de Chivré éd, 2018, 175 p.B 1632;B 1632;;2021;don Verrière;Touraine;;;
Boucher (Jean-Jacques), Le conseil général de Loir-et-Cher de 1790 à nos jours, Tours, Mame ed., 2010,  p 271, B 1631;B 1631;;2020;don Miranda;Blois;;;
Cossu (Mathieu), Delaunay (Cédric), Tours - Portraits d'une ville, Tours Sutton, 2020, 167 p. B 1630;B 1630;;2020;achat;;;;
Audin (Pierre), Dictionnaire du bassin de l'Indre en Touraine, Joué-les-Tours, La Simarre, 2020, 284p. B 1629;B 1629;;2020;don Audin;;;;
Maupin (Olivier), Identiez, conservez vos papiers anciens et estampes,Tours, Présence graphique imp.Monts (37) 2020, 152 p B 1628;B 1628;;2020;don Maupin;;;;
Hervou (Jean-François), Conférences Amicales des Collectionneurs,Tours, 2020, 118p, B 1627 (A) (B);B 1627;;2020;achat;;;;
Tuffreau-Libre (Marie), Céramiques antiques en Val de Loire, AREP Centre, 2005, 108p, B 1626;B 1626;;2020;;;;;
Guéritte (Armand), 1908, Le Vieux Tours,album de cent dessins, Paris, impr. Auguste Vincent, 1941,  n. p., B 1625;B 1625;;2020;don Montigaud;Tours;;;
[collectif], Le pays du Loudunois églises - chapelles, Loudun, Assoc Loudun ville d'art ed,Loudun,  1992, 79p. B 1624;B 1624;;2020;don Pasquier;;;;
Deroux (Denis), Imbert de Batarnay, le destin d'un Dauphinois aux XVe et XVIe siècles, de Barthernay à Montrésor, éd auteur, 2007, 191 p. B 1623;B 1623;;2020;don Thibault;;;;
Join-Lambert (Sophie), Abraham Bosse Graveur et savant, Tours, Musée des Beaux Arts, 1995, 155 p., B 1622;B 1622;;2020;don Adam;;;;
Rouillac (Aymeric), Barsacq (Stéphane), Gaillardon (Davis), Adjugé ! La saga des Rouillac, Monel Hayot éditeur, 2019,  302 p. B 1621;B 1621;;2020;don Ph Rouillac;;;;
Bourgeois (Luc), Alexandre-Bidon (Danièle),  et coll. La culture matérielle : un objet en question, Caen, PU de Caen, 2018, 258 p, B 1620;B 1620;;2019;achat;;;;
Potron (Daniel), La Flèche d'hier et d'aujourd'hui, La Flèche, Le Pen éd., T1 (1986) 223 p.,T2, ( 1988) 174 p. T3 (1989), 119 p. B 1619A, B, C, B 1619 ;B 1619;;2019;don Pasquier;historique;Anjou;;
[collectif] De l'usuel à l'élégant, matières et ornements dans le costume populaire, Argenton, Le Trépan éd. 2019, 179p. B 1618;B 1618;;2019;don Langard;Berry - Bourbonnais - Touraine;;;
Sieklucki (Jean-Michel), La colonie de Mettray, Lamarque éd., 2019, 141p., B 1617;B 1617;;2019;don Sieklucki;enfants - bagne - touraine;Touraine;;
[collectif], Cathédrale de Tours, Tours, PU François Rabelais, 2019, 339p. B 1616;B 1616;;2019;don PU François Rabelais;;;;
Lefebvre (Bastien), La formation d'un tissu urbain à Tours, 70è suppl., Tours, FERACF, 2019,  251p., B 1615;B 1615;;2019;achat;;;;
"[Collectif], Des établissements ruraux laténiens et gallo-romains sur le plateau de Tours Nord (Indre-et-Loire), les fouilles de Champs-Chardon et du ""Tramway"", 69è suppl., Tours, FERACF, 2018,  p., B 16134";B 1614;;2019;achat;;;;
Boucher (Marion), La céramique de la fin de l'âge de Fer dans le Berry (+CD), 67è suppl.,Tours, FERACF, 2017,  289 p., B 1613;B 1613;;2019;achat;;;;
[Collectif], La grande Brenne suppl.ne. Histoire d'une zone humide continentale et ses étangs, Tours, FERACF, 2017, 437 p., B 1612;B 1612;;2019;achat;;;;
[Collectif], Rencontre autour des paysages du cimetière médiéval et moderne Colloque 2013 Pieuré Saint-Côme, Tours, FERACF, 2015,  370 p., B 1611;B 1611;;2019;achat;;;;
[Collectif], Ensemble funéraire gallo-romain de la Loire moyenne III, 58è suppl., Tours, FERACF, 2015,  312 p.,p., B 1610;B 1610;;2019;achat;;;;
[Collectif], Les nécroples de l'âge de Bronze de Courcelles (Loiret), 56è suppl,Tours, FERACF, 2015,  319 p., B 1609;B 1609;;2019;achat;;;;
[Collectif], Les céramiques non tournées en Gaule romaine dans leur contexte social, économique et culturel,55è suppl.,Tours, FERACF, 2015, 271 p., B 1608 ;B 1608;;2019;achat;;;;
[Collectif], La céramique du Haut Moyen-Age dans le Centre-Ouest de la France (+ DVD), 49è suppl.,Tours, ARCHEA-FERACF, 2013, 283 p., B 1607;B 1607;;2019;achat;;;;
[Collectif], Le petit Paulmy. Abilly (Indre-et-Loire),46è suppl., Tours, ARCHEA/FERACF, 2013,  531p., B 1606;B 1606;;2019;achat;;;;
